id;sub_system;class;method;profile
1;Security;Person;createPerson;admin
2;Security;Profile;createProfile;admin
3;Security;Profile;assignProfileToUser;admin
4;Security;Profile;getProfileByName;admin
5;Security;User;createUser;admin
6;Inventory;Inventory;createInventory;admin
7;Inventory;Inventory;deleteInventory;admin
8;Inventory;Inventory;getAllInventories;admin
9;Inventory;Inventory;getInventoryById;admin
10;Inventory;Inventory;getInventoryByItem;admin
11;Inventory;Inventory;getInventoryByLocation;admin
12;Inventory;Inventory;updateInventory;admin
13;Inventory;Location;createLocation;admin
14;Inventory;Location;deleteLocation;admin
15;Inventory;Location;getAllLocations;admin
16;Inventory;Location;getLocationById;admin
17;Inventory;Location;getLocationByName;admin
18;Inventory;Location;updateLocation;admin
19;Loans;Loan;createLoan;admin
20;Loans;Loan;createLoanWithDetails;admin
21;Loans;Loan;deleteLoan;admin
22;Loans;Loan;getActiveLoans;admin
23;Loans;Loan;getAllLoans;admin
24;Loans;Loan;getLoanById;admin
25;Loans;Loan;getLoansByComponent;admin
26;Loans;Loan;getLoansByEquipment;admin
27;Loans;Loan;getLoansByUser;admin
28;Loans;Loan;renewLoan;admin
29;Loans;Loan;updateLoan;admin
30;Loans;Return;createReturn;admin
31;Loans;Return;deleteReturn;admin
32;Loans;Return;getAllReturns;admin
33;Loans;Return;getReturnById;admin
34;Loans;Return;getReturnsByUser;admin
35;Loans;Return;registerReturn;admin
36;Loans;Return;updateReturn;admin
